company,title,location,job_url,site,source,age_posted,age_days,requires_sponsorship,requires_citizenship,is_closed,is_faang,requires_advanced_degree,job_type,description,date_posted,collected_at
TD Bank,Software Engineer I -,"Toronto, ON, Canada",https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/Software-Engineer-I_R_1453958-1?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2d,2.0,True,False,False,False,False,fulltime,New graduate position at TD Bank. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005714
General Dynamics Mission Systems,Software Engineer 1,"Scottsdale, AZ",https://careers-gdms.icims.com/jobs/68913/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2d,2.0,True,False,False,False,False,fulltime,New graduate position at General Dynamics Mission Systems. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005733
NCR Voyix,Software Engineer I,"Atlanta, GA",https://ncr.wd1.myworkdayjobs.com/ext_us/job/ATLANTA-GA-USA/Software-Engineer-I_R0155211?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2d,2.0,True,False,False,False,False,fulltime,New graduate position at NCR Voyix. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005753
🔥 Roblox,2026] Software Engineer – Early Career - Security,"San Mateo, CA",https://careers.roblox.com/jobs/7357095?gh_jid=7357095&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2d,2.0,False,False,False,False,False,fulltime,New graduate position at 🔥 Roblox. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.005775
McDonald's,Software Engineer I C#,"Chicago, IL",https://jobs.mcdonalds.com/job/Chicago-Software-Engineer-I-C-IL-60607/1340292800/?ats=successfactors&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2d,2.0,True,False,False,False,False,fulltime,New graduate position at McDonald's. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005797
RTX,Software Engineer I,"West Valley City, UT",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/UT207-1127-West-2320-South---West-Valley-City-UT-84119-USA/Software-Engineer-I_01804302?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2d,2.0,True,False,False,False,False,fulltime,New graduate position at RTX. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005817
McDonald's,Software Engineer I,"Chicago, IL",https://jobs.mcdonalds.com/job/Chicago-Software-Engineer-I-IL-60607/1322906200/?ats=successfactors&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2d,2.0,True,False,False,False,False,fulltime,New graduate position at McDonald's. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005867
NCR,Software Engineer I,"Atlanta, GA",https://ncr.wd1.myworkdayjobs.com/en-US/ext_us/job/ATLANTA-GA-USA/Software-Engineer-I_R0155211?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2d,2.0,True,False,False,False,False,fulltime,New graduate position at NCR. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005916
Vertiv,Associate Firmware Engineer,"Saint Louis, MO",https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/20262069?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2d,2.0,False,False,False,False,False,fulltime,New graduate position at Vertiv. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.005944
PNC Bank,Technology Development Program,"Pittsburgh, PA",https://pnc.wd5.myworkdayjobs.com/External/job/PA---Pittsburgh-15222/Technology-Development-Program_R196707?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2d,2.0,False,False,False,False,False,fulltime,New graduate position at PNC Bank. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.005963
LexisNexis Risk Solutions,Software Engineer 1,"Nottingham, UK",https://relx.wd3.myworkdayjobs.com/en-US/RiskSolutions/job/Nottingham/Software-Engineer-1_R102845?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3d,3.0,True,False,False,False,False,fulltime,New graduate position at LexisNexis Risk Solutions. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.005983
Altice USA,Software Dev Engineer I,"Plainview, NY",https://www.alticeusacareers.com/job/Bethpage-Software-Dev-Engineer-I-NY-11714/1340029300/?ats=successfactors&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3d,3.0,True,False,False,False,False,fulltime,New graduate position at Altice USA. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006004
Intuit,Software Engineer 1,"Mountain View, CA",https://jobs.intuit.com/job/mountain-view/software-engineer-1/27595/88025996928?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3d,3.0,True,False,False,False,False,fulltime,New graduate position at Intuit. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006024
Truveta,Software Engineer – Entry Level - Imaging Services,"Seattle, WA",https://job-boards.greenhouse.io/truveta/jobs/5696523004?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3d,3.0,False,False,False,False,False,fulltime,New graduate position at Truveta. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.006045
Cummins,Software Engineer I,Indiana,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2420573?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3d,3.0,True,False,False,False,False,fulltime,New graduate position at Cummins. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006065
Red Hat,Associate Software Engineer,Remote in USA,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Remote-US-NC/Associate-Software-Engineer_R-052052?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,4d,4.0,True,False,False,False,False,fulltime,New graduate position at Red Hat. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006084
🔥 NVIDIA,DL Performance Software Engineer – New College Graduate 2025 - LLM Inference,"Toronto, ON, Canada",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Canada-Toronto/DL-Performance-Software-Engineer--LLM-Inference---New-College-Graduate-2025_JR2006789?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,6d,6.0,True,False,False,False,False,fulltime,New graduate position at 🔥 NVIDIA. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006107
Northrop Grumman,Modeling & Simulation Software Engineer 1 or 2 - Aht,"Northridge, LA",https://ngc.wd1.myworkdayjobs.com/Northrop_Grumman_External_Site/job/United-States-California-Northridge/Modeling-and-Simulation-Engineer--level-1-2---AHT-_R10202089?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,6d,6.0,True,False,False,False,False,fulltime,New graduate position at Northrop Grumman. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006142
Trimble,Software Engineer 1 - SketchUp Warehouse Platform Team,"Westminster, CO",https://trimble.wd1.myworkdayjobs.com/en-US/TrimbleCareers/job/US---CO-Westminster/Software-Engineer_R50787?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,6d,6.0,True,False,False,False,False,fulltime,New graduate position at Trimble. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006162
Ciena,Software Developer – 2026 New Grads,"Ottawa, ON, Canada",https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Software-Developer---New-Grad-2025_R028667-1?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,6d,6.0,True,False,False,False,False,fulltime,New graduate position at Ciena. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006182
Abridge,Machine Learning Operations – New Grad - Full Stack,SF,https://jobs.ashbyhq.com/abridge/33d1c529-87e0-4e7c-822a-28adffb991d6/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,6d,6.0,True,False,False,False,False,fulltime,New graduate position at Abridge. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006204
🔥 Palantir,Forward Deployed Software Engineer – New Grad - Commercial,"London, UK",https://jobs.lever.co/palantir/2aa14e4f-d406-486e-9aa8-6ff3358d70a0/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,6d,6.0,True,False,False,False,False,fulltime,New graduate position at 🔥 Palantir. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006224
Zip,Software Engineer – New Grad - 2026 Start,SF,https://jobs.ashbyhq.com/zip/bec203f9-7919-479a-b021-c7871b7757e2/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,6d,6.0,True,False,False,False,False,fulltime,New graduate position at Zip. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006244
Robert Half,Software Engineer I,"San Ramon, CA",https://roberthalf.wd1.myworkdayjobs.com/roberthalfcareers/job/SAN-RAMON/Software-Engineer-I_JR-258714?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,6d,6.0,True,False,False,False,False,fulltime,New graduate position at Robert Half. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006265
American Express,Campus Undergraduate Full-Time - Software Engineer 1 - Technology,NYC,https://aexp.eightfold.ai/careers/job/38270715?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at American Express. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006288
Continue,Software Engineer – New grad,SF,https://jobs.ashbyhq.com/continue/219fce3e-7af9-4b00-8fa7-87bf53db72f7/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at Continue. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006308
General Dynamics Mission Systems,Entry Level Software Engineer,"Pittsburgh, PA",https://careers-gdms.icims.com/jobs/67621/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at General Dynamics Mission Systems. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006328
🔥 Samsara,New Grad – Software Engineering,"London, UK",https://www.samsara.com/company/careers/roles/7336002?gh_jid=7336002&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at 🔥 Samsara. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006349
N1,New Grad Software Engineer - Full Stack,NYC,https://jobs.ashbyhq.com/n1/73724fe2-9a93-4a60-b349-4fd3d2efa94a/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at N1. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006371
Cape,New College Graduate - Software Engineer,"Washington, DCNYC",https://jobs.ashbyhq.com/cape/bd280ded-4298-47de-a186-1aebd1bd94b8/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at Cape. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006392
Abnormal Security,Software Engineer 1 - Data Platform,Remote in USA,https://abnormal.ai/careers/jobs/7483970003?gh_jid=7483970003&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at Abnormal Security. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006412
Steel Point Solutions,Software Engineer 1 - Software Engineering,"Odenton, MD",https://steelpoint-llc.com/government-it-consultant-careers/?gh_jid=7453484003&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at Steel Point Solutions. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006432
Mass General Brigham,Software Engineer I,"Cambridge, MA",https://massgeneralbrigham.wd1.myworkdayjobs.com/mgbexternal/job/Somerville-MA/Software-Engineer-I_RQ4019105?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at Mass General Brigham. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006452
ASM International,Software Engineer – Early Career - Fall 2025,"Phoenix, AZ",https://www.asm.com/open-vacancies/?gh_jid=4639009101&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at ASM International. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006472
D3,Backend Engineer – New Grad,LA,https://d3.com/careers?gh_jid=4915295008&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at D3. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006491
DigitalOcean,Software Engineer I - Security,"Seattle, WA",https://www.digitalocean.com/careers/position/apply/?gh_jid=7184047&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at DigitalOcean. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006511
Esri,Publishing Product Engineer I - Arcgis Enterprise,"West Redlands, Redlands, CA",https://www.esri.com/careers/4828988007?gh_jid=4828988007&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at Esri. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006531
mthree,Développeur génie logiciel / Junior Software Developer - Canada - Montreal,"Montreal, QC, Canada",https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4614251006?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at mthree. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006552
Whoop,Android Engineer 1 - Growth,"Boston, MA",https://jobs.lever.co/whoop/c1ee90e7-697b-49c2-b805-fa2c1ee20e4f/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at Whoop. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006575
Applied Intuition,Software Integration Engineer - New Grad,"Mountain View, CA",https://job-boards.greenhouse.io/appliedintuition/jobs/4607272005?gh_jid=4607272005&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,7d,7.0,True,False,False,False,False,fulltime,New graduate position at Applied Intuition. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006593
🔥 Amazon,Silicon & AI Systems Innovation,"Austin, TXSeattle, WACupertino, CA",https://www.amazon.jobs/en/jobs/3116902/2026-annapurna-labs-at-aws-early-career-us-silicon-ai-systems-innovation?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,8d,8.0,True,False,False,False,False,fulltime,New graduate position at 🔥 Amazon. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006614
Rover,"Software Engineer I, Expansions","Seattle, WA",https://jobs.lever.co/rover/206facd5-3dec-45a0-a76a-189cb2397d3e/?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,8d,8.0,True,False,False,False,False,fulltime,New graduate position at Rover. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006632
McDonald's,Software Engineer I C#,"Chicago, IL",https://jobs.mcdonalds.com/job/Chicago-Software-Engineer-I-C-IL-60607/1338320000/?ats=successfactors&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,8d,8.0,True,False,False,False,False,fulltime,New graduate position at McDonald's. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006654
Twitch,Software Engineer I - Frontend,SF,https://job-boards.greenhouse.io/twitch/jobs/8230925002?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,8d,8.0,True,False,False,False,False,fulltime,New graduate position at Twitch. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006674
mthree,Développeur génie logiciel / Junior Software Developer - Canada - Montreal,"Montreal, QC, Canada",https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4613765006?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,8d,8.0,True,False,False,False,False,fulltime,New graduate position at mthree. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006694
IXL Learning,Software Engineer – New Grad,"Raleigh, NC",https://www.ixl.com/company/jobs?gh_jid=8231360002&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,9d,9.0,True,False,False,False,False,fulltime,New graduate position at IXL Learning. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006715
General Dynamics Mission Systems,Software Engineer – Entry Level,"Scottsdale, AZ",https://careers-gdms.icims.com/jobs/68796/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,9d,9.0,True,False,False,False,False,fulltime,New graduate position at General Dynamics Mission Systems. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006735
🔥 Amazon,Security Engineer I - Security Incident Response Team - Sirt,"Arlington, VA",https://amazon.jobs/en/jobs/3092566/security-engineer-i-security-incident-response-team-sirt?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,9d,9.0,True,False,False,False,False,fulltime,New graduate position at 🔥 Amazon. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006757
BTI Solutions,Entry Level Mobile Device Test Network Engineer,"Bellevue, WA",https://btisolutions.wd12.myworkdayjobs.com/External/job/Bellevue-WA/Entry-Level-Mobile-Device-Test-Network-Engineer_JR101382?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,11d,11.0,True,False,False,False,False,fulltime,New graduate position at BTI Solutions. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006777
Wyetech,Software Engineer 0,"Annapolis Junction, MD",https://jobs.lever.co/wyetechllc/37094832-f2d0-46ce-968d-9c2369068034/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,11d,11.0,True,False,False,False,False,fulltime,New graduate position at Wyetech. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006797
General Dynamics Mission Systems,Software Engineer 1,"Pittsburgh, PA",https://careers-gdms.icims.com/jobs/68761/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,11d,11.0,True,False,False,False,False,fulltime,New graduate position at General Dynamics Mission Systems. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006817
Amentum,Entry Level Software Engineer,"Fredericksburg, VADahlgren, VA",https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Dahlgren/Entry-Level-Software-Engineer_R0148259?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,11d,11.0,True,False,False,False,False,fulltime,New graduate position at Amentum. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006837
Captivation,Software Engineer 1 - Hybrid - Java/Mapreduce/Git/Pig/Maven,"Annapolis Junction, MD",https://job-boards.greenhouse.io/captivation/jobs/4955322008?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,12d,12.0,True,False,False,False,False,fulltime,New graduate position at Captivation. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006857
Wolverine Trading,Entry Level C# Software Engineer,"Chicago, IL",https://jobs.lever.co/wolve/8b1ee40d-e234-4c5d-910f-88b0addc5549/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,12d,12.0,True,False,False,False,False,fulltime,New graduate position at Wolverine Trading. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006877
Promise,Software Engineer – New Grad - Forward Deployed AI,"Oakland, CA",https://jobs.ashbyhq.com/Promise/f0a30718-faf0-4a34-8759-0d6335fa365a/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,12d,12.0,True,False,False,False,False,fulltime,New graduate position at Promise. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006897
Fidelity National Information Services,Software Engineer I - C++ and Payments Systems,"Philadelphia, PA",https://fis.wd5.myworkdayjobs.com/searchjobs/job/PHL-MAKA-8767-FLR42/Software-Engineer-I--C---and-Payments-Systems-_JR0300399?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,13d,13.0,True,False,False,False,False,fulltime,New graduate position at Fidelity National Information Services. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006931
Promise,Software Engineer – Forward Deployed AI (New Grad),"Oakland, CA",https://jobs.ashbyhq.com/Promise/f0a30718-faf0-4a34-8759-0d6335fa365a?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,13d,13.0,True,True,False,False,False,fulltime,New graduate position at Promise. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.006951
"DuCharme, McMillen & Associates",Associate Software Engineer,"Fort Wayne, IN",https://dmainc.wd5.myworkdayjobs.com/en-US/dma/job/Fort-Wayne-IN/Associate-Software-Engineer_REQ206?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,13d,13.0,False,False,False,False,False,fulltime,"New graduate position at DuCharme, McMillen & Associates. Visa sponsorship NOT available. ",2025-11-07,2025-11-07T10:09:52.006984
🔥 Oracle,Undergrad Software Engineer - Oracle Cloud Infrastructure (OCI),"Santa Clara, CA",https://careers.oracle.com/en/sites/jobsearch/job/312200?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,14d,14.0,False,False,False,False,False,fulltime,New graduate position at 🔥 Oracle. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.007003
Boerboel,Developer,"New York, NYChicago, ILLondon, UK",https://www.boerboeltrading.com/jobs.html?gh_jid=5670371004&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,14d,14.0,True,False,False,False,False,fulltime,New graduate position at Boerboel. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007022
Amentum,Entry Level Software Engineer,"Dahlgren, VA",https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Dahlgren/Entry-Level-Software-Engineer_R0148073?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,14d,14.0,True,False,False,False,False,fulltime,New graduate position at Amentum. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007042
🔥 Adobe,Software Development Engineer,"San Jose, CA",https://careers.adobe.com/us/en/job/ADOBUSR158465EXTERNALENUS/Software-Development-Engineer?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,15d,15.0,True,False,False,False,False,fulltime,New graduate position at 🔥 Adobe. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007061
ElevenLabs,Growth Engineering - Mobile,Remote Globally,https://jobs.ashbyhq.com/elevenlabs/bed47ac1-9c5c-44ae-8965-3a4312706328?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,15d,15.0,False,False,False,False,False,fulltime,New graduate position at ElevenLabs. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.007079
Insulet,Associate Software Test Engineer,"Acton, MA",https://insulet.wd5.myworkdayjobs.com/en-US/insuletcareers/job/US---Massachusetts/Associate-Software-Test-Engineer---Acton--Mass--Hybrid-_REQ-2025-13419?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,15d,15.0,True,False,False,False,False,fulltime,New graduate position at Insulet. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007097
